year,hid,province,district,zone,starch,pulses,meat,vegetables,oil,fruits,milk,sugar,FCS,FCG,FS_final,DDS,GDDS
2018,7635,3,301,4,7,7,0,7,5,0,0,0,44.5,3,2,4,1
2018,7636,2,202,5,7,6,0,7,7,1,0,0,43.5,3,2,5,2
2018,7637,5,503,11,7,7,0,3,0,0,0,1,38.5,3,2,3,1
2018,7638,3,307,1,7,7,0,3,0,2,0,0,40.0,3,2,4,1
2018,7639,2,202,5,7,7,0,7,1,0,0,3,44.0,3,1,4,1
2018,7640,3,307,1,7,7,0,7,0,0,0,0,42.0,3,1,3,1
2018,7641,4,402,4,7,7,2,5,5,0,0,0,50.5,3,1,5,2
2018,7642,3,307,1,7,7,1,4,7,0,0,0,46.5,3,1,5,2
2018,7643,3,301,4,7,7,0,4,0,0,0,0,39.0,3,2,3,1
2018,7644,2,202,5,7,7,3,4,7,0,0,3,56.0,3,2,5,2
2018,7645,2,202,5,7,3,0,3,2,0,2,4,37.0,3,3,5,2
2018,7646,4,402,4,7,7,0,0,0,0,0,0,35.0,2,3,2,1
2018,7647,3,307,1,7,2,0,4,4,0,0,2,27.0,2,3,4,1
2018,7648,3,307,1,7,7,0,4,3,2,0,0,42.5,3,2,5,2
2018,7649,3,301,1,7,3,0,3,3,1,0,0,28.5,2,3,5,2
2018,7650,4,402,4,7,7,0,7,2,2,0,7,48.5,3,2,5,2
2018,7651,3,307,1,7,7,2,7,7,0,0,7,57.0,3,1,5,2
2018,7652,3,305,4,7,0,0,7,2,0,0,0,22.0,2,3,3,1
2018,7653,3,304,3,7,7,0,0,3,0,0,3,38.0,3,1,3,1
2018,7654,2,205,4,7,6,0,4,0,0,0,0,36.0,3,2,3,1
2018,7655,3,307,1,7,7,0,5,5,1,0,3,45.0,3,1,5,2
2018,7656,2,206,5,7,3,0,3,7,0,0,6,32.5,2,3,4,1
2018,7657,5,502,7,7,6,0,7,4,0,0,0,41.0,3,2,4,1
2018,7658,4,405,7,7,7,0,7,2,0,0,2,44.0,3,2,4,1
2018,7659,2,202,5,7,3,0,7,7,0,0,0,33.5,2,3,4,1
2018,7660,2,205,4,7,5,0,6,2,0,0,1,36.5,3,2,4,1
2018,7661,5,505,10,7,7,0,7,7,0,0,7,49.0,3,2,4,1
2018,7662,5,505,10,7,3,0,4,3,0,0,2,29.5,2,3,4,1
2018,7663,3,307,1,7,7,0,3,2,0,0,0,39.0,3,2,4,1
2018,7664,3,303,3,7,7,0,4,2,0,0,3,41.5,3,2,4,1
2018,7665,2,206,5,7,7,0,7,7,1,0,3,48.0,3,2,5,2
2018,7666,5,507,8,7,7,0,7,7,0,0,5,48.0,3,1,4,1
2018,7667,2,201,5,7,7,0,4,7,0,2,3,52.0,3,2,5,2
2018,7668,2,204,5,7,7,0,0,7,0,0,0,38.5,3,1,3,1
2018,7669,4,403,3,7,4,0,5,2,0,0,0,32.0,2,3,4,1
2018,7670,5,503,7,7,7,1,7,7,0,2,5,60.0,3,1,6,2
2018,7671,5,507,8,7,7,0,7,6,2,0,3,48.5,3,1,5,2
2018,7672,3,307,1,7,3,0,4,2,0,0,1,28.5,2,3,4,1
2018,7673,2,204,5,7,7,0,3,7,0,2,0,49.5,3,2,5,2
2018,7674,3,305,4,7,7,0,7,7,0,0,5,48.0,3,2,4,1
2018,7675,4,403,3,7,7,0,5,2,0,0,0,41.0,3,1,4,1
2018,7676,2,202,5,7,7,2,7,2,2,0,0,53.0,3,2,6,2
2018,7677,2,202,5,7,7,0,0,7,0,0,0,38.5,3,1,3,1
2018,7678,3,305,2,7,7,0,3,4,0,2,0,48.0,3,1,5,2
2018,7679,4,403,3,7,7,0,7,3,0,0,0,43.5,3,1,4,1
2018,7680,2,203,4,7,7,0,6,0,0,0,0,41.0,3,2,3,1
2018,7681,3,303,3,7,7,0,0,7,1,0,3,41.0,3,2,4,1
2018,7682,2,204,5,7,7,0,3,7,0,0,3,43.0,3,2,4,1
2018,7683,5,507,8,7,7,0,4,3,0,1,1,45.0,3,3,5,2
2018,7684,5,505,10,7,7,0,0,0,0,0,0,35.0,2,2,2,1
